,Q2A,Q4A,Q7A,Q9A,Q15A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q36A,Q40A,Q41A,Q42A,scores
0,4,4,4,2,4,3,3,1,4,4,4,4,4,4,3,4,2,4,3,4,4,73
1,1,3,3,3,3,1,1,2,3,1,2,2,3,3,4,3,3,3,1,2,2,49
2,1,1,1,2,4,2,1,4,3,2,4,2,1,2,1,2,2,4,2,1,4,46
3,3,1,4,3,2,1,2,1,1,1,1,1,2,4,1,3,3,1,4,4,2,45
4,2,4,4,4,4,4,4,3,3,4,2,4,4,2,4,2,4,4,4,4,3,73
5,1,1,1,3,2,1,2,1,1,1,2,1,1,1,1,3,2,2,1,1,2,31
6,1,3,3,3,3,1,3,4,1,3,3,2,2,1,2,2,3,2,2,2,3,49
7,1,1,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,28
8,4,4,4,4,4,4,4,3,4,4,3,2,4,2,4,4,3,4,4,4,4,77
9,2,1,3,4,2,4,4,4,3,1,4,3,4,4,4,4,3,4,4,3,4,69
10,1,1,1,1,2,1,1,1,1,1,3,1,1,3,1,3,2,1,1,1,2,30
11,3,2,1,4,1,4,3,2,4,1,2,3,3,2,2,3,3,3,3,1,2,52
12,1,1,1,1,1,4,2,3,2,1,2,1,3,3,1,3,3,2,2,3,2,42
13,4,2,1,2,1,1,1,1,3,2,3,1,1,2,3,3,3,4,4,2,3,47
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21
15,1,2,1,2,1,1,1,2,2,2,2,1,3,3,1,1,1,1,3,1,3,35
16,1,2,1,4,1,1,3,1,3,1,2,1,4,4,3,4,3,3,4,1,3,50
17,1,1,1,2,1,2,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,28
18,2,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,4,29
19,2,1,1,3,1,2,4,3,1,1,3,1,3,3,1,1,2,1,1,1,4,40
20,1,1,1,2,1,2,1,1,3,1,1,1,3,2,1,2,1,1,2,1,2,31
21,1,1,1,2,2,1,1,2,3,1,4,1,2,4,1,3,1,1,2,1,3,38
22,2,4,4,2,2,2,4,4,4,2,3,3,4,3,3,4,3,4,3,3,3,66
23,2,2,1,3,1,1,3,2,2,1,2,1,3,2,3,4,2,3,3,1,4,46
24,3,1,2,3,2,3,1,2,2,2,2,2,4,2,3,2,2,2,1,1,3,45
25,1,2,3,2,2,2,4,4,4,2,4,4,4,4,4,4,4,2,3,4,4,67
26,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,82
27,2,2,4,3,3,4,4,1,3,1,4,3,2,4,3,2,1,2,2,2,1,53
28,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,81
29,1,1,1,1,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,25
30,2,1,1,2,1,1,4,2,3,2,4,3,3,3,3,2,2,2,3,1,2,47
31,2,1,1,2,1,3,2,4,1,2,3,1,4,1,1,3,1,1,3,1,4,42
32,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,2,1,2,28
33,1,1,2,3,1,2,1,1,2,1,2,2,3,4,1,2,1,1,3,2,3,39
34,1,1,1,4,1,1,1,1,4,1,2,1,1,3,2,2,2,4,1,1,4,39
35,3,1,2,3,1,1,2,2,2,2,2,1,3,2,1,2,1,2,2,1,3,39
36,1,3,3,4,3,1,4,4,3,2,4,4,4,3,4,3,2,3,2,3,4,64
37,1,2,1,4,1,2,1,3,3,3,2,3,2,2,1,3,2,1,3,1,3,44
38,2,3,2,3,2,1,3,2,2,2,3,3,3,4,2,2,1,1,2,2,3,48
39,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,25
40,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,25
41,1,1,1,2,1,1,2,3,4,1,4,1,4,3,2,3,2,2,2,1,4,45
42,2,2,2,2,1,2,2,2,2,1,1,2,1,3,2,3,1,1,1,2,4,39
43,2,1,1,1,1,3,1,2,2,1,3,2,3,3,1,2,3,1,1,1,3,38
44,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,2,1,1,27
45,1,2,1,2,1,2,1,3,2,1,3,1,3,4,2,4,2,1,3,1,3,43
46,2,1,1,2,1,3,1,1,1,1,1,2,3,2,2,2,2,2,2,2,1,35
47,1,3,2,4,1,2,3,4,3,4,3,2,4,3,3,3,1,3,4,2,2,57
48,1,2,1,3,2,1,3,3,2,1,3,2,3,3,3,4,2,3,4,1,4,51
49,1,2,1,1,1,1,1,2,3,1,2,3,1,2,1,1,1,1,1,1,4,32
50,1,3,1,2,4,1,3,4,2,1,3,2,4,3,2,1,2,3,2,1,4,49
51,2,2,3,2,2,2,2,3,3,2,3,2,4,3,3,3,3,1,3,2,4,54
52,1,3,1,1,1,1,2,4,2,2,3,2,2,1,1,2,3,2,2,1,4,41
53,1,2,4,4,2,1,3,3,3,1,2,3,2,2,4,4,2,2,4,3,3,55
54,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,25
55,1,1,2,1,1,1,1,3,1,1,4,1,4,3,1,4,2,1,1,1,4,39
56,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,26
57,3,3,1,2,2,3,1,1,2,3,2,2,1,3,2,2,2,1,1,3,4,44
58,4,4,3,4,4,2,4,4,4,4,2,1,4,4,4,1,4,3,4,4,4,72
59,1,1,2,2,2,1,2,1,2,1,1,2,1,2,1,2,2,2,1,2,3,34
60,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,2,27
61,2,1,1,3,2,2,3,1,2,1,2,2,4,2,2,2,2,2,3,2,2,43
62,2,3,2,3,2,2,2,4,3,2,3,1,3,2,2,4,2,2,4,2,3,53
63,1,1,1,1,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,3,27
64,1,1,1,3,1,1,1,1,2,1,3,4,1,1,1,3,4,1,1,2,4,38
65,1,3,1,2,1,1,2,2,2,2,3,1,3,2,2,2,1,2,2,2,4,41
