,Q3A,Q5A,Q10A,Q13A,Q16A,Q17A,Q21A,Q24A,Q26A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q42A,scores
0,2,4,1,4,4,3,1,4,4,2,4,4,2,3,4,4,1,2,4,4,61
1,2,4,2,4,3,4,2,2,3,3,2,3,3,2,2,3,4,2,2,2,54
2,4,4,4,4,4,4,4,4,1,2,4,3,1,4,3,4,4,4,2,4,68
3,2,3,3,1,2,3,1,1,2,3,3,1,2,4,1,1,2,1,3,2,41
4,3,4,3,4,3,4,3,2,4,4,3,4,4,4,3,4,3,3,3,3,68
5,2,3,2,1,4,2,1,2,1,2,2,1,4,1,3,2,2,2,1,2,40
6,2,4,4,2,4,2,4,3,2,3,4,2,4,3,2,2,4,4,4,3,62
7,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,25
8,3,3,3,4,4,3,3,3,4,3,4,2,4,4,2,4,4,3,2,4,66
9,4,4,4,4,4,4,4,4,4,3,4,2,4,4,3,4,4,4,4,4,76
10,2,3,1,2,3,2,1,3,1,2,3,3,1,2,3,1,1,2,3,2,41
11,2,4,3,3,1,3,2,2,3,3,2,2,4,3,2,3,1,2,4,2,51
12,1,1,3,3,3,3,3,2,3,3,1,1,1,2,1,2,4,2,4,2,45
13,1,3,1,4,3,4,1,3,1,3,2,2,2,1,1,4,1,1,2,3,43
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
15,2,2,2,2,2,3,2,2,3,1,2,2,1,2,3,1,2,1,3,3,41
16,2,1,1,3,1,3,1,2,4,3,1,3,4,1,3,3,1,1,3,3,44
17,2,2,2,2,3,2,2,2,2,1,3,2,1,2,2,1,2,1,2,1,37
18,2,3,2,1,3,1,1,3,1,1,3,2,1,1,4,1,1,2,3,4,40
19,2,4,2,3,2,2,3,3,3,2,2,1,1,2,4,1,3,2,3,4,49
20,2,2,2,3,1,2,1,1,3,1,1,1,1,2,1,1,1,1,2,2,31
21,2,3,3,2,3,2,2,4,2,1,3,4,1,2,3,1,2,2,4,3,49
22,3,3,4,4,3,4,4,3,4,3,3,3,3,4,3,4,4,4,4,3,70
23,2,1,2,3,2,2,2,2,3,2,3,2,2,3,3,3,2,1,3,4,47
24,2,3,2,3,3,2,2,2,4,2,2,1,2,2,1,2,3,2,2,3,45
25,4,4,4,4,4,4,4,4,4,4,4,2,2,4,2,2,4,4,4,4,72
26,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,76
27,1,1,2,3,3,2,1,4,2,1,1,1,4,1,2,2,1,1,3,1,37
28,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80
29,2,1,2,1,3,1,2,3,1,1,1,1,1,1,1,1,2,2,2,1,30
30,3,3,2,3,2,3,2,4,3,2,2,1,3,3,2,2,3,3,2,2,50
31,2,4,2,4,2,4,4,3,4,1,1,1,1,4,1,1,2,4,1,4,50
32,1,2,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,2,27
33,2,1,1,2,2,1,1,2,3,1,2,4,1,2,3,1,1,1,3,3,37
34,2,1,1,2,3,3,1,2,1,2,2,3,4,3,3,4,1,2,4,4,48
35,1,2,1,2,3,1,2,2,3,1,1,4,1,2,1,2,2,3,2,3,39
36,1,2,4,3,2,4,4,4,4,2,2,2,2,3,1,3,4,4,3,4,58
37,2,2,2,2,1,4,3,2,2,2,2,2,4,2,1,1,3,2,2,3,44
38,3,2,3,4,3,2,2,3,3,1,2,3,3,2,2,1,2,3,3,3,50
39,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,27
40,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,23
41,3,4,3,3,3,3,3,4,4,2,3,2,3,2,3,2,3,4,2,4,60
42,2,2,1,2,2,4,2,1,1,1,2,3,2,4,2,1,1,2,2,4,41
43,2,3,3,2,2,3,2,3,3,3,3,4,1,2,2,1,3,3,2,3,50
44,1,3,2,2,2,1,2,2,2,1,4,4,1,1,3,1,1,2,3,1,39
45,3,3,3,4,2,4,3,3,3,2,3,2,3,4,2,1,3,2,3,3,56
46,1,1,1,2,2,1,1,1,3,2,1,2,2,2,2,2,1,1,2,1,31
47,4,3,3,4,3,3,4,3,4,1,4,4,4,4,3,3,2,4,3,2,65
48,4,3,1,4,2,3,3,3,3,2,2,4,3,3,3,3,2,2,1,4,55
49,1,2,1,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,4,33
50,3,4,4,4,4,2,4,3,4,2,4,2,3,3,3,3,4,4,4,4,68
51,4,3,3,4,3,3,3,3,4,3,3,3,3,4,2,1,3,3,3,4,62
52,3,3,3,3,4,4,4,3,2,3,3,1,2,4,2,2,3,4,1,4,58
53,1,3,2,2,1,2,3,2,2,2,1,3,4,3,2,2,1,2,2,3,43
54,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,23
55,4,4,4,4,4,4,3,4,4,2,4,4,2,3,4,1,4,4,3,4,70
56,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,26
57,2,2,3,2,2,2,1,2,1,2,2,3,2,1,3,1,2,1,2,4,40
58,4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,3,4,3,2,4,73
59,1,3,2,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,3,30
60,1,2,2,1,2,2,1,1,1,2,1,2,1,1,3,1,1,1,2,2,30
61,3,3,2,4,2,2,1,2,4,2,1,2,2,2,4,2,1,1,2,2,44
62,3,4,4,3,3,4,4,3,3,2,2,2,2,3,4,2,4,4,3,3,62
63,2,2,2,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,3,29
64,4,4,1,3,2,1,1,3,1,4,4,4,2,2,4,1,1,1,2,4,49
65,2,3,3,4,3,3,2,3,3,1,3,3,2,3,2,2,2,2,3,4,53
66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
67,2,3,3,3,2,4,3,2,3,3,2,2,4,3,1,2,3,3,2,4,54
68,3,4,4,4,4,4,3,4,3,4,4,4,4,4,2,2,4,4,2,4,71
69,1,2,1,1,1,1,1,2,1,2,3,2,3,1,3,1,1,1,3,2,33
70,2,2,1,2,1,1,1,2,2,3,1,4,4,1,3,2,1,1,4,2,40
71,3,2,4,3,3,4,4,2,3,1,2,1,2,4,1,1,4,4,2,3,53
72,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,79
73,2,3,2,2,3,2,2,2,2,2,2,3,3,2,1,2,2,2,3,3,45
74,1,4,1,4,2,1,1,2,4,1,1,2,4,1,2,3,1,1,3,4,43
75,4,2,2,4,3,4,4,2,3,2,2,4,3,4,2,4,3,3,2,4,61
76,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,21
77,2,2,2,2,2,2,1,2,2,1,3,1,1,2,1,1,2,2,2,3,36
78,3,4,4,4,3,4,4,4,4,1,4,3,4,4,3,1,4,4,4,4,70
79,2,3,3,3,2,2,2,2,2,3,2,2,3,2,1,3,1,2,3,3,46
80,1,3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,3,28
81,2,4,1,2,2,3,2,2,2,2,2,1,2,4,2,2,1,3,3,4,46
82,2,3,1,3,2,1,1,2,2,2,1,3,2,2,2,3,1,1,4,4,42
83,1,2,2,1,3,2,1,2,1,2,1,4,3,1,4,1,1,1,4,3,40
84,4,4,3,4,3,3,4,4,3,2,4,2,1,3,2,2,4,4,3,4,63
85,2,3,2,4,2,3,3,3,3,4,3,3,4,3,3,3,3,3,4,3,61
86,3,3,3,3,4,4,4,2,3,3,3,3,3,4,2,3,3,4,3,4,64
87,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,78
88,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,78
89,1,1,2,1,1,1,1,2,2,1,1,2,1,1,3,1,1,1,1,1,26
90,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,3,2,2,4,46
91,2,2,2,1,3,1,4,2,1,1,2,1,3,3,1,1,2,4,3,2,41
92,1,4,1,2,1,1,1,1,2,4,1,2,4,1,2,1,1,1,4,4,39
93,4,4,4,4,4,3,3,4,4,4,4,3,4,3,3,4,4,4,3,4,74
94,2,4,3,4,4,3,4,3,1,3,4,3,1,3,2,2,4,4,1,3,58
95,2,3,3,4,2,4,3,3,3,4,2,3,2,3,3,1,2,3,2,4,56
96,2,3,1,3,3,2,2,3,4,2,3,3,4,2,2,1,3,2,2,4,51
97,3,3,1,4,3,3,3,3,4,1,3,2,3,4,1,2,3,3,2,4,55
98,2,4,4,3,2,4,3,2,4,1,2,1,2,3,1,2,3,3,1,4,51
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
100,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,23
101,2,1,1,2,3,2,1,2,2,1,3,1,1,1,1,1,1,2,1,1,30
102,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,23
103,3,4,3,2,4,1,3,4,3,1,3,4,1,1,3,2,2,2,3,4,53
104,2,4,1,2,2,1,1,1,1,1,2,3,1,2,3,1,1,1,4,4,38
105,2,4,1,2,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,4,33
106,2,3,1,2,4,3,1,2,3,1,3,4,2,2,4,3,2,1,1,4,48
107,2,3,2,4,2,3,3,2,4,3,2,4,4,2,1,2,2,3,4,3,55
108,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21
109,3,3,4,4,2,4,3,4,3,1,3,1,4,4,3,4,3,2,1,3,59
110,3,4,4,4,4,4,4,3,3,1,4,2,1,4,3,1,4,4,2,4,63
111,2,4,4,4,3,3,4,2,4,1,4,2,4,4,2,4,4,4,4,4,67
112,3,4,4,4,4,4,4,4,3,3,4,4,3,4,4,2,4,4,2,4,72
113,2,2,3,4,2,2,2,4,3,3,3,1,2,2,2,2,2,2,2,3,48
114,2,2,2,2,2,1,1,2,1,3,2,2,3,1,2,1,2,2,1,2,36
115,2,3,2,3,2,3,2,2,2,3,3,3,2,2,2,2,2,2,3,3,48
116,1,1,2,2,2,1,2,1,2,1,1,2,2,1,1,1,1,2,2,2,30
117,3,3,4,4,4,3,2,4,4,3,4,3,3,2,1,2,4,3,3,4,63
118,1,3,1,4,1,1,1,1,4,1,1,1,4,1,1,1,2,1,4,2,36
119,3,3,4,4,3,3,4,3,3,3,3,3,2,3,3,2,3,3,2,4,61
120,2,4,3,4,4,4,3,4,4,2,4,4,4,3,3,4,4,4,4,3,71
121,4,4,4,4,3,4,4,2,4,4,3,1,4,4,1,2,4,4,2,3,65
122,3,4,4,4,4,4,4,4,4,4,4,2,1,4,2,1,4,4,3,4,68
123,3,3,4,3,3,3,4,3,2,4,3,2,2,3,2,2,4,4,4,4,62
124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,22
125,2,2,2,2,2,2,4,3,4,2,3,3,3,4,2,2,2,3,3,3,53
126,2,4,4,4,3,3,2,4,4,2,4,2,2,3,2,2,3,2,2,4,58
127,1,3,1,3,1,2,1,2,3,1,2,2,2,2,2,1,1,2,3,2,37
128,4,3,1,3,4,2,4,4,4,3,4,4,4,2,4,1,1,3,2,3,60
129,3,4,3,3,3,3,3,3,3,1,3,2,3,2,2,1,2,2,2,4,52
130,3,2,4,4,4,4,4,3,4,2,2,3,4,4,2,1,4,4,2,4,64
131,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,27
132,2,1,2,2,2,1,1,1,1,2,2,2,4,1,2,2,1,1,2,3,35
133,2,2,3,4,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,55
134,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,25
135,1,3,4,4,4,4,4,1,4,1,4,1,1,4,1,2,3,4,1,3,54
136,3,2,2,3,4,2,3,4,3,1,4,3,3,3,3,1,2,3,2,3,54
137,3,4,4,4,2,3,4,1,4,3,2,3,3,3,1,4,4,4,3,3,62
138,2,2,2,3,2,2,3,2,3,1,2,1,3,2,1,2,2,2,2,3,42
139,1,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1,2,1,1,27
140,4,4,4,4,4,4,4,4,3,3,4,3,4,4,2,4,4,4,3,4,74
141,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,3,4,74
142,1,2,1,2,1,2,1,1,2,1,1,2,1,2,2,2,1,1,2,2,30
143,1,4,3,3,1,4,1,1,2,2,3,2,3,3,3,3,2,1,3,4,49
144,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,22
145,2,2,4,2,1,2,1,1,3,4,2,4,4,2,2,3,1,2,3,2,47
146,1,3,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,3,38
147,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80
148,1,2,2,2,2,2,1,2,2,1,2,3,3,2,2,2,1,1,2,2,37
149,1,1,1,2,3,1,1,2,3,3,2,2,1,1,1,1,1,2,2,3,34
150,1,1,3,1,2,2,1,1,3,2,1,1,2,3,1,1,1,1,1,3,32
151,2,2,2,1,2,2,2,2,1,3,2,4,2,2,4,2,3,2,1,2,43
152,2,3,1,2,1,1,1,2,2,2,1,1,2,2,3,2,2,1,2,3,36
153,4,4,4,4,4,4,4,4,4,3,4,4,3,4,2,4,4,4,4,4,76
154,1,1,1,2,3,4,3,1,3,2,1,2,4,4,1,1,1,3,3,1,42
155,2,3,2,3,2,3,3,2,2,4,3,2,3,2,2,1,2,3,3,2,49
156,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,25
157,1,1,2,2,2,1,1,2,3,2,3,3,2,1,2,1,1,2,2,2,36
158,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80
159,1,1,1,1,2,1,1,1,2,1,2,1,3,1,1,1,1,1,1,2,26
160,3,1,1,2,1,2,2,2,2,1,1,3,2,2,3,1,1,2,1,3,36
161,1,3,4,4,3,4,3,3,3,3,2,3,3,3,2,3,4,4,2,2,59
162,1,3,2,3,2,2,2,2,3,1,2,2,2,2,2,1,1,1,2,3,39
163,3,4,3,2,3,3,2,2,4,2,3,3,2,4,3,1,3,2,4,3,56
164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
165,1,2,2,1,1,2,2,1,2,2,1,4,2,1,3,3,1,1,4,3,39
166,2,2,2,4,3,3,1,2,3,1,3,3,2,1,1,1,3,2,3,3,45
167,4,3,4,4,3,4,4,4,4,3,4,3,4,4,3,4,3,4,4,4,74
168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,22
169,4,3,4,4,3,4,1,4,3,2,4,3,4,4,2,2,3,1,4,3,62
170,4,4,4,4,4,4,4,4,4,1,4,3,3,4,1,1,4,4,1,4,66
171,3,4,2,2,4,3,3,3,2,3,1,2,3,2,1,2,2,2,2,2,48
172,2,3,3,3,2,3,3,3,3,2,2,3,3,2,1,1,3,4,3,4,53
173,2,3,2,2,3,3,3,3,2,3,2,2,2,2,3,1,2,3,2,3,48
174,4,2,2,2,2,2,2,2,2,1,4,3,2,4,3,1,2,2,4,2,48
175,4,4,4,4,4,4,2,4,4,3,4,4,3,4,4,3,2,2,4,4,71
176,2,3,3,2,1,2,2,3,1,1,3,4,2,2,4,2,2,2,3,2,46
177,1,2,1,2,1,1,1,2,2,1,1,2,1,2,2,1,1,1,2,2,29
178,3,2,2,4,3,4,3,3,4,2,3,2,4,4,1,4,2,2,2,3,57
179,3,2,2,4,3,3,2,3,2,2,3,2,4,4,2,3,1,2,2,3,52
180,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,23
181,1,2,1,1,2,1,3,2,1,2,2,4,1,2,4,1,1,3,1,4,39
182,4,4,1,4,3,1,4,3,4,4,4,3,3,1,3,1,4,4,3,3,61
183,4,2,4,4,4,3,4,4,4,2,3,4,4,4,3,4,4,4,4,4,73
184,1,1,2,2,2,2,1,1,2,3,1,2,2,3,1,1,1,1,2,3,34
185,1,3,2,1,2,1,1,2,2,4,1,2,3,1,2,3,1,1,3,2,38
186,2,2,1,4,2,3,2,2,4,1,2,1,4,3,2,1,1,2,2,3,44
187,2,3,2,2,2,3,1,2,2,1,2,2,2,2,3,1,1,1,3,3,40
188,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,79
189,2,2,2,2,1,3,2,1,3,1,1,1,2,2,2,2,2,1,4,2,38
190,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80
191,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,4,77
192,4,4,4,4,3,2,4,4,4,4,3,2,3,2,1,1,4,2,3,4,62
193,4,2,4,4,4,4,4,4,4,1,4,4,1,4,4,1,4,4,4,4,69
194,2,2,2,2,2,2,2,2,3,2,2,2,4,2,2,2,2,2,2,2,43
195,1,2,2,2,2,2,1,2,2,1,3,1,1,2,1,2,1,2,2,1,33
196,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,37
197,1,2,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1,1,1,3,32
198,3,4,4,4,3,3,3,3,4,2,3,3,3,4,3,2,4,2,3,4,64
