,Q1A,Q6A,Q8A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q22A,Q27A,Q29A,Q32A,Q33A,Q35A,Q39A,scores
0,4,4,4,1,4,4,4,4,4,4,3,4,3,4,4,4,4,2,4,4,73
1,4,4,4,2,2,2,4,4,3,3,4,2,1,3,3,3,3,3,2,2,58
2,3,3,3,4,2,1,4,1,4,4,4,2,2,3,2,2,3,1,3,2,53
3,2,3,2,3,2,1,1,4,2,2,3,1,1,1,4,3,1,2,1,3,42
4,2,2,4,3,2,4,4,4,4,3,4,4,4,3,2,2,4,4,3,3,65
5,1,1,3,2,1,2,1,3,2,4,2,1,1,1,1,3,1,4,3,1,38
6,1,1,3,4,1,2,2,2,3,4,2,2,1,1,1,2,2,4,2,4,44
7,1,2,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,1,2,27
8,4,4,4,3,4,4,4,3,4,4,3,4,4,4,2,4,2,4,2,2,69
9,3,4,4,4,4,4,4,4,2,4,4,1,4,3,4,4,2,4,3,4,70
10,3,3,3,1,3,2,2,4,2,3,2,3,1,1,3,3,3,1,3,3,49
11,3,3,3,3,3,3,3,3,1,1,3,2,4,4,2,3,2,4,2,4,56
12,1,2,3,3,3,2,3,4,1,3,3,2,4,2,3,3,1,1,1,4,49
13,1,1,3,1,2,1,4,1,1,3,4,3,1,3,2,3,2,2,1,2,41
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
15,3,1,1,2,2,1,2,3,1,2,3,3,1,2,3,1,2,1,3,3,40
16,3,3,3,1,3,3,3,1,1,1,3,3,1,3,4,4,3,4,3,3,53
17,3,3,2,2,2,1,2,2,1,3,2,2,2,1,2,1,2,1,2,2,38
18,3,1,2,2,1,1,1,4,1,3,1,2,1,1,2,1,2,1,4,3,37
19,2,3,1,2,2,1,3,1,1,2,2,4,2,1,3,1,1,1,4,3,40
20,3,3,2,2,4,1,3,2,1,1,2,4,2,3,2,2,1,1,1,2,42
21,3,3,3,3,3,1,2,3,2,3,2,3,1,3,4,3,4,1,3,4,54
22,3,3,4,4,3,3,4,2,2,3,4,3,2,4,3,4,3,3,3,4,64
23,3,4,2,2,3,2,3,4,1,2,2,2,1,2,2,4,2,2,3,3,49
24,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,1,2,1,2,41
25,4,3,4,4,4,3,4,3,2,4,4,3,2,4,4,4,2,2,2,4,66
26,4,4,3,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,76
27,2,2,1,2,2,4,3,2,3,3,2,1,4,3,4,2,1,4,2,3,50
28,4,3,3,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,74
29,1,1,1,2,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,2,25
30,2,3,3,2,3,4,3,2,1,2,3,4,1,3,3,2,1,3,2,2,49
31,2,2,1,2,2,2,4,2,1,2,4,1,3,1,1,3,1,1,1,1,37
32,2,2,3,1,3,3,2,2,1,1,1,2,1,2,2,2,3,1,1,3,38
33,2,3,2,1,4,1,2,3,1,2,1,2,2,2,4,2,4,1,3,3,45
34,1,1,2,1,3,4,2,2,1,3,3,2,1,4,3,2,3,4,3,4,49
35,1,1,2,1,3,3,2,1,1,3,1,2,1,2,2,2,4,1,1,2,36
36,4,4,2,4,4,4,3,2,3,2,4,2,1,3,3,3,2,2,1,3,56
37,1,1,4,2,2,3,2,1,1,1,4,1,2,3,2,3,2,4,1,2,42
38,2,2,3,3,4,2,4,3,2,3,2,2,1,2,4,2,3,3,2,3,52
39,2,2,1,1,3,1,1,2,1,2,1,1,1,1,2,1,2,1,2,2,30
40,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,24
41,3,3,4,3,4,3,3,2,1,3,3,4,1,4,3,3,2,3,3,2,57
42,2,2,2,1,2,2,2,1,1,2,4,2,2,2,3,3,3,2,2,2,42
43,3,3,2,3,3,2,2,3,1,2,3,3,3,2,3,2,4,1,2,2,49
44,3,1,2,2,2,1,2,3,1,2,1,1,1,2,2,1,4,1,3,3,38
45,3,3,3,3,3,2,4,3,1,2,4,3,2,2,4,4,2,3,2,3,56
46,1,1,2,1,2,1,2,1,1,2,1,2,3,1,2,2,2,2,2,2,33
47,4,4,4,3,3,4,4,1,1,3,3,3,2,3,3,3,4,4,3,3,62
48,4,4,4,1,3,4,4,1,2,2,3,2,1,2,3,4,4,3,3,1,55
49,4,2,2,1,4,4,2,1,1,2,1,1,1,3,2,1,2,2,1,2,39
50,2,2,2,4,3,3,4,1,4,4,2,4,1,2,3,1,2,3,3,4,54
51,3,2,4,3,3,2,4,3,2,3,3,2,2,3,3,3,3,3,2,3,56
52,1,1,2,3,1,2,3,1,1,4,4,3,1,2,1,2,1,2,2,1,38
53,3,4,3,2,2,4,2,3,2,1,2,3,1,3,2,4,3,4,2,2,52
54,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,24
55,3,3,1,4,4,3,4,1,1,4,4,1,1,1,3,4,4,2,4,3,55
56,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,1,2,29
57,2,3,2,3,2,3,2,3,2,2,2,2,3,2,3,2,3,2,3,2,48
58,4,1,1,4,4,4,4,3,4,4,3,3,2,4,4,1,4,4,4,2,64
59,2,2,1,2,1,1,2,2,2,1,1,1,1,2,2,2,1,2,1,2,31
60,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,3,2,31
61,2,2,2,2,3,2,4,3,2,2,2,4,2,2,2,2,2,2,4,2,48
62,3,4,2,4,4,2,3,3,2,3,4,3,2,3,2,4,2,2,4,3,59
63,1,1,3,2,1,1,2,3,1,1,2,1,2,3,1,1,1,1,1,1,30
64,3,3,2,1,3,1,3,3,1,2,1,1,1,2,1,3,4,2,4,2,43
65,2,2,3,3,2,2,4,2,1,3,3,3,1,2,2,2,3,2,2,3,47
66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
67,2,3,2,3,3,3,3,1,1,2,4,1,1,1,1,2,2,4,1,2,42
68,3,2,3,4,2,4,4,2,3,4,4,3,3,4,2,4,4,4,2,2,63
69,3,2,2,1,2,3,1,2,2,1,1,3,1,3,3,2,2,3,3,3,43
70,3,3,2,1,3,3,2,1,1,1,1,4,3,2,3,3,4,4,3,4,51
71,1,1,3,4,1,1,3,2,2,3,4,1,2,2,1,1,1,2,1,2,38
72,3,2,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,74
73,2,2,2,2,2,3,2,2,1,3,2,2,1,3,2,2,3,3,1,3,43
74,2,3,4,1,3,4,4,2,2,2,1,1,3,3,2,4,2,4,2,3,52
75,3,4,4,2,3,3,4,2,3,3,4,2,4,4,2,3,4,3,2,2,61
76,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,23
77,2,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,2,30
78,3,4,4,4,4,4,4,4,2,3,4,4,3,4,4,3,3,4,3,4,72
79,2,4,3,3,3,4,3,1,3,2,2,1,4,3,1,2,2,3,1,3,50
80,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,25
